Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
GNV,XNA,"Gainesville, FL","Fayetteville, AR",149,173,1,832,2004-10-01,244060,397168,29.6900997162,-82.2717971802,36.281898,-94.306801
ATL,LEX,"Atlanta, GA","Lexington, KY",1313,1620,54,305,2001-02-01,4432950,415000,33.6366996765137,-84.4281005859375,38.0364990234375,-84.6059036254883
DTW,MCI,"Detroit, MI","Kansas City, MO",269,330,3,630,1999-05-01,8962394,1815318,42.2123985290527,-83.353401184082,39.2976,-94.713898
PBI,MIA,"West Palm Beach, FL","Miami, FL",2865,4012,118,62,1998-03-01,4691519,9383038,26.6832008361816,-80.0955963134766,25.7931995391846,-80.2906036376953
SMF,LAX,"Sacramento, CA","Los Angeles, CA",7333,8600,172,373,2003-12-01,1967052,25434866,38.6954002380371,-121.591003417969,33.94250107,-118.4079971
TYS,CHA,"Knoxville, TN","Chattanooga, TN",0,107,1,87,1995-11-01,586095,451630,35.81100082,-83.9940033,35.0353012084961,-85.2037963867188
OCF,FLL,"Ocala, FL","Fort Lauderdale, FL",41,62,1,248,2006-03-01,313964,5466743,29.17259979,-82.22419739,26.0725994110107,-80.152702331543
BDL,IAD,"Hartford, CT","Washington, DC",259,364,2,326,2000-07-01,1150915,9642062,41.9388999939,-72.6831970215,38.94449997,-77.45580292
ORD,TUL,"Chicago, IL","Tulsa, OK",3766,4550,91,585,2009-07-01,19161134,929015,41.97859955,-87.90480042,36.1983985900879,-95.8880996704102
PIT,MCO,"Pittsburgh, PA","Orlando, FL",119,151,1,834,1991-03-01,2472127,1274721,40.49150085,-80.23290253,28.4293994903564,-81.3089981079102
TUS,LAX,"Tucson, AZ","Los Angeles, CA",3494,4440,30,451,1990-04-01,668242,22585772,32.1161003112793,-110.94100189209,33.94250107,-118.4079971
GSP,ORD,"Greenville, SC","Chicago, IL",20,37,1,577,2002-02-01,572407,18490270,34.8956985474,-82.2189025879,41.97859955,-87.90480042
MEM,BTR,"Memphis, TN","Baton Rouge, LA",1578,1744,35,319,2007-03-01,1290610,772041,35.0424003601074,-89.9766998291016,30.53319931,-91.14959717
SLC,SPI,"Salt Lake City, UT","Springfield, IL",106,124,1,1176,2000-03-01,972653,201586,40.7883987426758,-111.977996826172,39.84410095,-89.67790222
IAH,CLL,"Houston, TX","College Station, TX",75,184,4,74,1996-01-01,4268132,161311,29.9843997955322,-95.3414001464844,30.58860016,-96.36380005
SAV,ATL,"Savannah, GA","Atlanta, GA",3759,5299,29,215,2005-09-01,314190,4947012,32.12760162,-81.20210266,33.6366996765137,-84.4281005859375
FLL,IND,"Fort Lauderdale, FL","Indianapolis, IN",172,173,1,1005,2001-04-01,5120256,1556076,26.0725994110107,-80.152702331543,39.7173,-86.294403
CLE,LGA,"Cleveland, OH","New York, NY",197,471,3,418,2008-04-01,2094051,37937002,41.4117012024,-81.8498001099,40.77719879,-73.87259674
ORD,RIC,"Chicago, IL","Richmond, VA",588,648,6,642,1999-08-01,17655010,1058930,41.97859955,-87.90480042,37.505199432373,-77.3197021484375
COS,ATL,"Colorado Springs, CO","Atlanta, GA",5208,7950,53,1185,2006-02-01,601150,5119641,38.805801391602,-104.70099639893,33.6366996765137,-84.4281005859375
JAN,IAH,"Jackson, MS","Houston, TX",91,111,3,351,2003-03-01,509068,5084017,32.3111991882,-90.0758972168,29.9843997955322,-95.3414001464844
CLT,RFD,"Charlotte, NC","Rockford, IL",0,0,1,652,2006-06-01,1583869,344269,35.2140007019043,-80.9430999755859,42.1954002380371,-89.0971984863281
STL,MCO,"St. Louis, MO","Orlando, FL",4936,5617,41,880,2009-10-01,2828990,2082421,38.7486991882324,-90.370002746582,28.4293994903564,-81.3089981079102
PHL,JAX,"Philadelphia, PA","Jacksonville, FL",2790,3960,33,742,2004-02-01,11645752,1222731,39.871898651123,-75.241096496582,30.4941005706787,-81.6878967285156
STL,SHV,"St. Louis, MO","Shreveport, LA",32,68,1,476,1994-07-01,2624554,359580,38.7486991882324,-90.370002746582,32.4466018676758,-93.8255996704102
ELP,MEM,"El Paso, TX","Memphis, TN",0,0,3,972,2008-09-01,738416,1298529,31.80719948,-106.3779984,35.0424003601074,-89.9766998291016
ELP,IAH,"El Paso, TX","Houston, TX",0,0,9,667,2007-08-01,727828,5597674,31.80719948,-106.3779984,29.9843997955322,-95.3414001464844
IAD,MIA,"Washington, DC","Miami, FL",2309,4716,12,921,1995-01-01,8757652,8913928,38.94449997,-77.45580292,25.7931995391846,-80.2906036376953
LAX,BHM,"Los Angeles, CA","Birmingham, AL",170,183,1,1815,2006-04-01,25427320,1103572,33.94250107,-118.4079971,33.56290054,-86.75350189
ATL,DTW,"Atlanta, GA","Detroit, MI",2170,2350,47,594,2007-07-01,5267527,8913164,33.6366996765137,-84.4281005859375,42.2123985290527,-83.353401184082
LCK,JFK,"Columbus, OH","New York, NY",0,0,6,487,2006-01-01,1737170,37651266,39.813801,-82.927803,40.63980103,-73.77890015
SBN,CVG,"South Bend, IN","Cincinnati, OH",3533,6900,138,203,2001-09-01,316657,2035680,41.7086982727051,-86.3172988891602,39.0488014221,-84.6678009033
TPA,MEM,"Tampa, FL","Memphis, TN",64,100,1,656,2004-12-01,2578104,1249048,27.9755001068115,-82.533203125,35.0424003601074,-89.9766998291016
DSM,LAX,"Des Moines, IA","Los Angeles, CA",837,1638,14,1447,1999-06-01,469192,24181874,41.5340003967285,-93.6631011962891,33.94250107,-118.4079971
CHS,DCA,"Charleston, SC","Washington, DC",103,200,4,444,2006-11-01,617619,10530024,32.89860153,-80.04049683,38.8521,-77.037697
HOT,ELD,"Hot Springs, AR","El Dorado, AR",13,19,1,88,2008-03-01,97700,43005,34.4780006408691,-93.0961990356445,33.2210006713867,-92.8133010864258
SBA,PHX,"Santa Barbara, CA","Phoenix, AZ",1938,2300,46,455,2008-10-01,403655,4287323,34.42620087,-119.8399963,33.4342994689941,-112.012001037598
ABQ,HOU,"Albuquerque, NM","Houston, TX",1758,4658,34,759,2009-01-01,857903,5867489,35.0401992797852,-106.609001159668,29.64539909,-95.27890015
STL,LGA,"St. Louis, MO","New York, NY",159,194,2,887,1995-07-01,2634959,34261384,38.7486991882324,-90.370002746582,40.77719879,-73.87259674
GSP,MEM,"Greenville, SC","Memphis, TN",7,50,1,441,2000-08-01,561900,1208269,34.8956985474,-82.2189025879,35.0424003601074,-89.9766998291016
BOS,DFW,"Boston, MA","Dallas, TX",5142,8791,59,1562,1999-03-01,8550938,9703564,42.36429977,-71.00520325,32.896800994873,-97.0380020141602
JAN,IAH,"Jackson, MS","Houston, TX",1465,1890,63,351,2000-06-01,498252,4739414,32.3111991882,-90.0758972168,29.9843997955322,-95.3414001464844
